benchmark,model,baseline,is_rate,delta_pp,ci_low_pp,ci_high_pp,p_mcnemar,n_paired
twowiki,Qwen 7B,react,94.91525423728814,16.94915254237288,8.47457627118644,27.11864406779661,0.001953125,59
twowiki,Qwen 7B,selfcheckgpt,94.91525423728814,10.16949152542373,1.694915254237288,20.33898305084746,0.0703125,59
twowiki,Qwen 7B,tot,94.91525423728814,0.0,-27.27272727272727,27.27272727272727,1.0,11
longmem,Llama 8B,direct,78.33333333333333,15.0,6.666666666666667,25.0,0.00390625,60
longmem,Llama 8B,self_refine,78.33333333333333,26.666666666666668,15.0,38.333333333333336,0.00014495849609375,60
longmem,Llama 8B,reflexion,78.33333333333333,1.6666666666666667,-6.666666666666667,10.0,1.0,60
longmem,Llama 8B,full_regen,78.33333333333333,15.0,5.0,25.0,0.01171875,60
longmem,Llama 8B,react,78.33333333333333,16.666666666666664,6.666666666666667,26.666666666666668,0.00634765625,60
longmem,Llama 8B,selfcheckgpt,78.33333333333333,28.333333333333332,16.666666666666664,40.0,7.62939453125e-05,60
longmem,Llama 8B,tot,78.33333333333333,23.333333333333332,11.666666666666666,35.0,0.000518798828125,60
longmem,Llama 70B,direct,68.33333333333333,25.0,15.0,36.666666666666664,6.103515625e-05,60
longmem,Llama 70B,self_refine,68.33333333333333,20.0,10.0,31.666666666666664,0.0018310546875,60
longmem,Llama 70B,reflexion,68.33333333333333,-1.6666666666666667,-11.666666666666666,8.333333333333332,1.0,60
longmem,Llama 70B,full_regen,68.33333333333333,23.333333333333332,13.333333333333334,35.0,0.0001220703125,60
longmem,Llama 70B,react,68.33333333333333,28.333333333333332,16.666666666666664,40.0,1.52587890625e-05,60
longmem,Llama 70B,selfcheckgpt,68.33333333333333,35.0,23.333333333333332,46.666666666666664,9.5367431640625e-07,60
longmem,Llama 70B,tot,68.33333333333333,38.333333333333336,26.666666666666668,50.0,2.384185791015625e-07,60
longmem,Mistral 12B,direct,73.33333333333333,18.333333333333332,8.333333333333332,28.333333333333332,0.0009765625,60
longmem,Mistral 12B,self_refine,73.33333333333333,23.333333333333332,13.333333333333334,35.0,0.0001220703125,60
longmem,Mistral 12B,reflexion,73.33333333333333,0.0,-10.0,10.0,1.0,60
longmem,Mistral 12B,full_regen,73.33333333333333,15.0,3.3333333333333335,26.666666666666668,0.0224609375,60
longmem,Mistral 12B,react,73.33333333333333,15.0,5.0,25.0,0.01171875,60
